PersonnelNumber,EmploymentStatus,CareerTrackCode,CareerTrack,TalentSegmentCode,TalentSegment,StandardJob,Community,CommunityCode,DiamondClient,Gender
ID10001,Active,540,Innovation & Thought Leadership,52994537,Business & Technology Integration,Technology Consulting Senior Principal,NYM_CROSS,OZ,Mega Diamond,Male
ID10002,Active,520,Client Delivery & Operations,52971376,Portfolio & Delivery Management,Service Delivery Ops Senior Manager,HOU_CROSS,K1,,Female
ID10003,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Planning Executive,CHG_CROSS,G5,Emerging Diamond,Male
ID10004,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Operations Sol Architect Senior Manager,DAL_CROSS,8A,,Male
ID10005,Active,540,Innovation & Thought Leadership,52971380,Infrastructure,Infrastructure Senior Principal,BOS_CROSS,RM,,Male
ID10006,Active,540,Innovation & Thought Leadership,52971392,Research,Technology Lab Fellow,NOC_CROSS,OX,Target,Male
ID10007,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Architect Senior Manager,PHL_CROSS,2I,Diamond,Male
ID10008,Active,510,Client & Market,52971047,Account Leadership,Senior Client Account Executive,CHG_CROSS,G5,,Male
ID10009,Active,540,Innovation & Thought Leadership,52971397,Strategy,Strategy Senior Principal,WDC_CROSS,OG,Target,Male
ID10010,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,HOU_CROSS,K1,Diamond,Male
ID10011,Active,520,Client Delivery & Operations,52971394,Sales Enablement,Infrastructure Domain Arch Sr Manager,COL_CROSS,7G,,Male
ID10012,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Executive,NYM_CROSS,OZ,Diamond,Male
ID10013,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Plan Enablement Mgr,WDC_CROSS,OG,Diamond,Male
ID10014,Active,530,Corporate Function,52971390,"Product, Service & Offering Development",Supplier Management Executive,CLE_CROSS,6J,NULL,Male
ID10015,Active,530,Corporate Function,52994537,Business & Technology Integration,Corporate Sol Arch Senior Manager,CHG_CROSS,G5,NULL,Male
ID10016,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Executive,ONE_MINNEAPOLIS,V5,Target,Male
ID10017,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Manager,TAM_CROSS,MK,,Male
ID10018,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,SOC_CROSS,3E,Mega Diamond,Female
ID10019,Active,520,Client Delivery & Operations,52971376,Portfolio & Delivery Management,Portfolio & Delivery Director,CHG_CROSS,G5,,Male
ID10020,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Sr Manager,DAL_CROSS,8A,Diamond,Male
ID10021,Active,520,Client Delivery & Operations,52971376,Portfolio & Delivery Management,Service Delivery Ops Senior Manager,ONE_MINNEAPOLIS,V5,,Male
ID10022,Active,540,Innovation & Thought Leadership,52994539,Management Consulting,Mgmt Consulting Executive Principal,BOS_CROSS,RM,,Male
ID10023,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Planning Executive,TAL_CROSS,LO,,Male
ID10024,Active,520,Client Delivery & Operations,52971376,Portfolio & Delivery Management,Client Delivery Executive,WDC_CROSS,OG,NULL,Male
ID10025,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Manager,DAL_CROSS,8A,,Male
ID10026,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,ONE_MINNEAPOLIS,V5,,Female
ID10027,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,Ava AVA-MDC05,1T,,Male
ID10028,Active,510,Client & Market,52994539,Management Consulting,Senior Management Consulting Executive,BOS_CROSS,RM,Diamond,Male
ID10029,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Strategic Program&Ops Manager,KC_CROSS,Q0,NULL,Female
ID10030,Active,530,Corporate Function,52971388,"Performance, Risk & Quality",Quality Assurance Associate Manager,CHG_CROSS,G5,NULL,Female
ID10031,Active,510,Client & Market,52971396,Solution Architecture,Solution Architecture Senior Manager,DAL_CROSS,8A,Diamond,Male
ID10032,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,NYM_CROSS,OZ,,Female
ID10033,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Manager,ATL_CROSS,3Z,Mega Diamond,Male
ID10034,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery SME Assoc Director,WDC_CROSS,OG,NULL,Female
ID10035,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Sr Manager,HOU_CROSS,K1,,Female
ID10036,Active,530,Corporate Function,52971376,Portfolio & Delivery Management,Service Delivery Ops Manager,COL_CROSS,7G,NULL,Male
ID10037,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business Process Arch Senior Manager,CHG_CROSS,G5,,Female
ID10038,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,To Be Assigned,CW,,Male
ID10039,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,TAM_CROSS,MK,Diamond,Male
ID10040,Active,530,Corporate Function,52971388,"Performance, Risk & Quality",Corporate Risk & Quality Assoc Director,DET_CROSS,8Y,NULL,Female
ID10041,Active,510,Client & Market,52971047,Account Leadership,Client Account Executive,NYM_CROSS,OZ,,Male
ID10042,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,Ava AVA-MDC05,1T,,Male
ID10043,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Manager,AvanAVAITPMDC01,DP,Diamond,Male
ID10044,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,PHX_CROSS,D6,Diamond,Male
ID10045,Active,510,Client & Market,52971397,Strategy,Senior Functional Strategy Executive,CLE_CROSS,6J,Emerging Diamond,Female
ID10046,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Plan Enablement Mgr,Avan AVA SALES,JW,,Male
ID10047,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,IDC CMTAO0034,FJ,,Male
ID10048,Active,550,Sales,52971393,Sales,Senior Deal Executive,DNV_CROSS,9X,Mega Diamond,Male
ID10049,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Service Management Senior Manager,MIL_CROSS,4C,,Male
ID10050,Active,540,Innovation & Thought Leadership,52971397,Strategy,Strategy Principal Director,PHL_CROSS,2I,,Female
ID10051,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Business Operations Associate Manager,SEA_CROSS,2S,NULL,Male
ID10052,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Sr Technology Practice Builder Exec,NYM_CROSS,OZ,,Male
ID10053,Active,510,Client & Market,52971047,Account Leadership,Senior Client Account Executive,PHL_CROSS,2I,Diamond,Male
ID10054,Active,530,Corporate Function,52994537,Business & Technology Integration,Bus & Technology Delivery Assoc Director,CHG_CROSS,G5,NULL,Male
ID10055,Active,510,Client & Market,52971047,Account Leadership,Client Account Executive,COL_CROSS,7G,Diamond,Male
ID10056,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Planning Sr Mgr,Avanade RES26,EX,,Male
ID10057,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,Avanade CIO02,0S,,Male
ID10058,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Sr Manager,NOC_SACRAMENTO,1J,Mega Diamond,Male
ID10059,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Sr Manager,CHG_CROSS,G5,Diamond,Male
ID10060,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,STL_CROSS,KY,Diamond,Male
ID10061,Active,510,Client & Market,52971047,Account Leadership,Senior Client Account Executive,MIL_CROSS,4C,Diamond,Male
ID10062,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Executive,CHA_CROSS,4N,,Male
ID10063,Active,510,Client & Market,52994539,Management Consulting,Senior Management Consulting Executive,CHA_CROSS,4N,Diamond,Male
ID10064,Active,530,Corporate Function,52994537,Business & Technology Integration,Bus & Technology Delivery Assoc Manager,CHG_CROSS,G5,NULL,Male
ID10065,Active,520,Client Delivery & Operations,52971389,Practice Leadership,Technology Director,BOS_CROSS,RM,,Male
ID10066,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,CHG_CROSS,G5,Target,Male
ID10067,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Sr Manager,IDC AOSA,YK,Mega Diamond,Male
ID10068,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,Avan AVA-MDC01,DT,Mega Diamond,Male
ID10069,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Associate Manager,IDC SAP02,6Y,,Male
